NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Moventas,Provider of drivetrain technology and services in the wind industry,Europe,Finland,Jyvaskyla,62.2396549,25.7186813,32.0,training;sustainable development goals;testing;wind energy;climate tech,energy,clean energy,late growth,ESO Capital;Clyde Blowers Capital;Flender;N4 Partners,"venture_capital;private_equity,venture_capital;corporate;private_equity",Tampere
Climate Recovery,Offering over 80% carbon emissions savings by using recycled glass and sand instead of steel for the simple process of moving a building’s air,Europe,Sweden,Kalmar,56.6618493,16.3681217,1.67,sustainable development goals;climate tech,real estate;energy,energy providers;energy efficiency;waste solution,early growth,European Innovation Council,government,Linkoping
INERATEC,Producer of sustainable e-kerosene made from carbon dioxide and green hydrogen,Europe,Germany,Karlsruhe,49.027723,8.351696,24.18,hydrogen;climate tech;vivatech2019;sustainable development goals;carbon capture and storage;novel energy;sustainable aviation fuel;carbon utilisation;circular economy,energy,clean energy;oil & gas,late growth,"Planet A Ventures;High-Tech Gründerfonds;Extantia Capital;Planet A;FO Holding;Engie;Safran;MPC;Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection;Honda Motor Co Ltd;ENGIE New Ventures",venture_capital;venture_capital;venture_capital;corporate;venture_capital;corporate;corporate;corporate;venture_capital;corporate;corporate_venture_fund,Karlsruhe
enercast,Enercast it a self-learning software-as-a-service products deliver accurate power forecasts for wind power and solar plants,Europe,Germany,Kassel,51.326168,9.5054269,2.3,solar energy;wind energy;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy efficiency;clean energy,early growth,High-Tech Gründerfonds;Innogy Ventures;Fraunhofer Venture,venture_capital;corporate_venture_fund;venture_capital,Frankfurt
Q3energie,"Q3 ENERGY develops, produces, and markets electronic devices, preferably for the field of renewable energies",Europe,Germany,Kaufbeuren,47.897353,10.64235,2.13,solar energy;climate tech;sustainable development goals;smart home,energy,clean energy,seed,European Innovation Council,government,Munich
ElintaCharge,"Manufactures RedDot award-winning, smart and technologically-advanced AC charging stations for electric vehicles",Europe,Lithuania,Kaunas,54.9294224,23.97925407,7.0,startuplithuania;ev charging;sustainable development goals;electric mobility,energy;transportation,energy efficiency;energy providers;clean energy;mobility,early growth,LitCapital;AVIA Capital;Elinta,"venture_capital;private_equity,venture_capital;corporate",Vilnius
PVcase,A solar engineering software integrated with AutoCAD to design utility-scale photovoltaic plants 30 times faster,Europe,Lithuania,Kaunas,54.8936251,23.9159984,21.41,startuplithuania;sustainable development goals;solar energy;climate tech,energy;enterprise software,energy efficiency;clean energy,late growth,Contrarian Ventures;Practica Capital;EIT Climate-KIC;Elephant,venture_capital;venture_capital;accelerator;venture_capital,Vilnius
Keliber,Producing battery grade lithium hydroxide for the needs of the growing international lithium battery market,Europe,Finland,Kaustinen,63.5529025,23.7071638,2.65,climate tech;sustainable development goals;mining technologies;lithium ion batteries;nordic rising star 2022;top 50 nordic rising star 2022 finland,energy,energy storage,early growth,Business Finland;Sibanye-Stillwater,government;corporate,Oulu
Sonnen GmbH,Global leader in smart energy storage solutions,Europe,Germany,Kempten (Allgau),47.765594,10.401611,147.9,ft 1000;battery;sustainable development goals;smart building;climate tech;smart grid,energy,energy efficiency;energy storage,late growth,SET Ventures;GE Ventures;Inven Capital;Munich Venture Partners;ECAPITAL;Shell Ventures;ČEZ;Shell,venture_capital;corporate_venture_fund;venture_capital;venture_capital;venture_capital;corporate_venture_fund;corporate;corporate,Munich
Dancerbus,"An electric transport solution that includes e-buses, full maintenance, and its own green energy supply",Europe,Lithuania,Klaipeda,55.685462,21.207692,1.6,automotive;public transportation;startuplithuania;sustainable development goals;climate tech;ev manufacturing;electric mobility,energy;transportation,clean energy;mobility;vehicle production,early growth,Goldfish Fund,venture_capital,Riga
Green Hydrogen Systems,GreenHydrogen believes that electrolysers have a great potential to become a core technology in green and renewable energy,Europe,Denmark,Kolding,55.507075,9.44364,27.27,hydrogen;sustainable development goals;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 denmark;novel energy;hydrogen novel energy,energy,clean energy,late growth,Nordic Alpha Partners;A.P. Moller Holding;Norlys Holding;VF Venture (Vækstfonden);Nordea Asset Management;ATP,venture_capital;advisor;corporate;venture_capital;investment fund;investment fund,Odense
Magnax,Delivers the highest efficiency and extreme power densities for ground e-mobility applications,Europe,Belgium,Kortrijk,50.8216347,3.3101141,36.5,automotive;sustainable development goals;climate tech;spinout;ev motor;electric mobility,energy;transportation,vehicle production;clean energy,early growth,European Innovation Council;Plug and Play;Ghent University;Plug & Play Topeka;B.I.G. Capital;SFPI-FPIM;Vlerick Group;Torus Capital;Hirschvogel Ventures,"government;venture_capital;university;accelerator;private_equity,venture_capital;venture_capital;family_office;venture_capital;venture_capital",Lille
Smappee,The first energy buddy that reduces your energy consumption in a sustainable manner,Europe,Belgium,Kortrijk,50.822944,3.310553,2.45,smart home;appliances;solar energy;analytics;sustainable development goals;climate tech,energy,clean energy;energy efficiency;waste solution,early growth,Stefan Grosjean,angel,Lille
Endev,Endev's complete PAKU process is developed for efficient and cost-effective renewable energy production and nutrient recycling  from wet biomass,Europe,Finland,Kotka,60.5422038,26.9525084,4.31,sustainable development goals;biomass;wastewater treatment;climate tech;circular economy;recycling,energy,waste solution;clean energy;water,seed,TeSi;Tesi,"corporate;private_equity,venture_capital",Helsinki
Green Fuel Nordic,"We are a biorefining company based in Finland. Our business model is based on utilising innovative, commercially used pyrolysis technology in the production of advanced bio-oil",Europe,Finland,Kuopio,63.6210948,27.2076121,14.0,sustainable development goals;biofuel;climate tech;blue economy;bluetech;circular economy,energy,oil & gas;waste solution,seed,OP Financial Group;European Investment Bank;ELY Centre (Ministry of Employment and the Economy of Finland);Finnvera,corporate_venture_fund;government & non-profit;venture_capital;corporate,Oulu
Easilys,IT services company and software publisher for catering services,Europe,France,La Roche-sur-Yon,46.7071439,-1.4266893,1.8,food waste;waste reduction;restaurant tech;sustainable development goals;inventory management;retail;climate tech;catering;circular economy,food;energy,in-store retail & restaurant tech;waste solution,late growth,Groupe Paul Bocuse;MAPAL Group,service provider;corporate,Nantes
Wimao Oy,Wimao recycles mixed plastic trash and other hard-to-recycle waste streams. Wimao turns plastic waste into composite goods with the same qualities as virgin materials,Europe,Finland,Lappeenranta,61.11404555,28.48060046,2.47,eic;recycling;waste reduction;sustainable development goals;plastic;eicfund;climate tech;circular economy;plastic pollution,energy,waste solution,seed,European Innovation Council;EIC Fund (European Innovation Council Fund);Nostetta Ventures,government;venture_capital;venture_capital,Helsinki
Aurelia Turbines,The manufacturer of the most efficient small gas turbines in the world,Europe,Finland,Lappeenranta,61.0621534,28.0966056,7.4,sustainable development goals;hydrogen;climate tech;nordic rising star 2022;novel energy;other categories novel energy,energy,oil & gas,early growth,European Innovation Council;First Imagine! Ventures;Loudspring;Niklas Geust;Besodos Investors;Green Campus Innovations;Capillary Oy;Circlion Capital Oy;Tejusa Oy;The Finnish Climate Fund,government;venture_capital;venture_capital;angel;family_office;venture_capital;corporate;venture_capital;corporate;venture_capital,Helsinki
SpinDrive,SpinDrive provides tailored active magnetic bearing systems for original equipment manufacturers. Their breaktrhough innavtion enable to drastically reduce customer lifetime costs by increasing end-use energy efficiency,Europe,Finland,Lappeenranta,61.1213149,28.4921422,1.65,sustainable development goals;climate tech,energy;transportation,energy efficiency;clean energy,early growth,European Innovation Council;Maria 01;Butterfly Ventures;MassChallenge;Creative Destruction Lab;EIT Climate-KIC;Innovestor;Born2Grow;SDGx;Innovestor Ventures,government;accelerator;venture_capital;accelerator;accelerator;accelerator;venture_capital;venture_capital;venture_capital;venture_capital,Helsinki
Solar Foods,Introducing a game-changing natural protein for the global food industry,Europe,Finland,Lappeenranta,61.0621534,28.0966056,69.12,biotechnology;food processing;alternative protein;social entrepreneurship;solar energy;sustainable development goals;nutrition;nutrition solution;chemical;algae;macro-nutrients;space tech;fermentation;enabler of alternative proteins;climate tech;esa bic;esa;space upstream;space exploration;in-space human presence;nordic rising star 2022;spinout;synthetic biology,food;energy,innovative food,early growth,VTT Ventures;Lifeline Ventures;Green Campus Innovations;Fazer;Bridford Group;Agronomics;CPT Capital;Holdix;Business Finland;The Finnish Climate Fund;EIT FAN Helsinki (Food Accelerator Network);Happiness Capital;ESA BIC Finland;Voima Ventures;VTT Technical Research Centre of Finland,venture_capital;venture_capital;venture_capital;corporate;family_office;venture_capital;venture_capital;family_office;government;venture_capital;accelerator;venture_capital;accelerator;venture_capital;government,Helsinki
SusPhos,Upcycling of phosphate rich waste streams to generate high-quality alternatives for fossil-sourced products,Europe,Netherlands,Leeuwarden,53.19479189,5.80286937,2.5,recycling;chemistry;chemical technology;circular economy;sustainable development goals;climate tech; horticultural products ,energy;chemicals,waste solution,early growth,Innovatiefonds Noord-Holland;SHIFT Invest;UvA Ventures;BeStart cleantech startup accelerator;University of Amsterdam;European Innovation Council;EIC Fund (European Innovation Council Fund),venture_capital;venture_capital;venture_capital;accelerator;university;government;venture_capital,Amsterdam
Hydraloop,"Empowers people and organizations to save water, energy, and reduce carbon footprint by offering clean-tech water recycling products",Europe,Netherlands,Leeuwarden,53.1963531,5.8026811,2.0,waste reduction;water treatment;wastewater treatment;decentralised applications;recycling;sustainable development goals;climate tech;circular economy,energy,energy efficiency;clean energy;waste solution;water,early growth,AMAVI Capital;Crowdcube;NOM;Cacao Capital,venture_capital;crowdfunding;venture_capital;investment fund,Amsterdam
REDstack,"Development, scaling up and marketing of reverse electrodialysis technology",Europe,Netherlands,Leeuwarden,53.0263449,5.672011,9.09,climate tech;sustainable development goals;marine energy;bluetech;blue economy,energy,clean energy;water,early growth,Greenbackers Investment Capital,venture_capital,Amsterdam
Waste4ME,Provide technology solutions for the decentralized locations,Europe,Netherlands,Leiden,52.1648737,4.5181061,1.5,recycling;waste reduction;sustainable development goals;climate tech;circular economy;plastic pollution,energy,,seed,,,Leiden
AquaBattery,AquaBattery's patented membrane stack technology uses seawater for energy storage and discharge. The company's aim is the growth of renewable energy technologies and stop the use of toxic materials,Europe,Netherlands,Leiden,52.1617424,4.5226789,2.47,innovation management;sustainable development goals;lithium ion batteries;solar energy;climate tech,energy,energy storage;clean energy,early growth,EIT Climate-KIC;European Innovation Council,accelerator;government,Leiden
LeydenJar Technologies,Boosting battery energy with pure silicon anodes,Europe,Netherlands,Leiden,52.1684209,4.4572869,26.26,lithium ion batteries;sustainable development goals;automotive;ev battery tech;ev battery;climate tech;spinout;novel energy;electric mobility;next-gen lithium novel energy,energy;transportation,mobility;energy efficiency;energy storage,late growth,European Innovation Council;BOM Brabant Ventures;UNIIQ;Pjotr van Schothorst;PVS Investments;Pjotr van Schothorst;TNO - Netherlands Organisation for Applied Scientific Research;Catalus Capital;Yard Energy;Invest-NL;DOEN Participaties;InnovationQuarter;Dutch Ministry of Economic Affairs and Climate Policy;European Innovation Council and SMEs Executive Agency (EISMEA);European Investment Bank;Somerset Capital Partners,government;venture_capital;venture_capital;angel;angel_fund;angel;non-profit;venture_capital;corporate;investment fund;venture_capital;venture_capital;government;government;government & non-profit;venture_capital,Leiden
Oceans of Energy,The first company in the world to install and operate an offshore solar farm system in high wave conditions,Europe,Netherlands,Leiden,52.170561,4.4777371,1.43,solar energy;marine;sustainable development goals;marine energy;climate tech;blue economy;bluetech,energy,clean energy,early growth,UNIIQ;FMO Entrepreneurial Development Bank;PVS Investments;Pjotr van Schothorst;European Commission;InnovationQuarter,venture_capital;corporate;angel_fund;angel;government;venture_capital,Leiden
Q-Cells,Renewable Energy Semiconductor Manufacturing,Europe,Germany,Leipzig,51.6245997,12.3079926,10.0,consumer electronics;natural resources;solar energy;sustainable development goals;climate tech,energy,clean energy,late growth,Hanwha SolarOne,corporate,Leipzig
Calyxo,TS Solar GmbH - Thin Film Solar Panels - Made in Germany,Europe,Germany,Leipzig,51.644013,12.236683,4.0,natural resources;solar energy;sustainable development goals;climate tech,energy,clean energy,seed,Solar Fields,corporate,Leipzig
RVE.SOL - Solucoes de Energia Rural,Uses renewable technology to accelerate rural development and empower businesses in rural Africa,Europe,Portugal,Leiria,39.7437902,-8.8071119,3.47,charity;solar energy;sustainable development goals;climate tech;fertigation,energy,clean energy;water;energy providers,early growth,EIT InnoEnergy;Renewable Energy Corporation;EGIS;European Commission;Vivian Vendeirinho;Acumen,venture_capital;corporate;corporate;government;angel;venture_capital,Lisbon
Sitemark,"Provides software and services to streamline and optimize the engineering, construction, and operation of solar sites",Europe,Belgium,Leuven,50.8650119,4.6691501,7.82,spinout;industrial drones;drones;aerospace;space tech;construction tech;sustainable development goals;space tech to aviation;solar energy;aviation & aerospace;industrial technology;industrial robotics;industrial analytics;space downstream;climate tech,energy;robotics,energy efficiency;clean energy,early growth,European Innovation Council;Chroma Impact Investment;Startupbootcamp;Startupbootcamp Smart Materials;Startupbootcamp Fintech New York;Korys;Flemish Institute for Technological Research (VITO);Start it @KBC,government;venture_capital;accelerator;venture_capital;accelerator;family_office;non-profit;accelerator,Brussels
Mitis S.A.,At MITIS we are committed to contribute to a cleaner world by developing clean technologies for electric power generation,Europe,Belgium,Liege,50.5894449,5.5557195,1.77,eic;sustainable development goals;climate tech,energy,clean energy,early growth,Eurostars SME programme;European Innovation Council,government;government,Aachen
Ampacimon,Smart solution for a dynamic grid,Europe,Belgium,Liege,50.650483,5.483692,4.05,sustainable development goals;industrial connectivity;industrial technology;energy tech;climate tech;spinout,energy,energy efficiency,late growth,European Innovation Council;Korys;Gesval;Creos;Noshaq;University of Liège,"government;family_office;venture_capital;angel;private_equity,venture_capital;university",Aachen
Octopus Lab,Offers innovative predictive solutions to improve indoor air quality while reducing the energy consumption of buildings,Europe,France,Lille,50.6476287,3.0823624,3.0,air quality monitoring & treatment;green buildings;sustainable development goals;urban tech;climate tech,energy;home living,energy providers;energy efficiency,early growth,Swen Capital Partners;Matmut Innovation;Construction Venture;BTP Capital Investment;Nord Création;Nord France Amorcage,venture_capital;venture_capital;investment fund;venture_capital;venture_capital;venture_capital,Lille
Votechnik,"Automated LCD & FPD Recycling System where robotics process waste at high speed turning it into “gold”, aluminium & more",Europe,Ireland,Limerick,52.6716823,-8.5532576,2.11,recycling;sustainable development goals;climate tech;circular economy,energy,waste solution,seed,European Innovation Council,government,Limerick
Advanced Manufacturing Control Systems,"AMCS is the leading supplier of integrated software and vehicle technology for the waste, recycling and material resources industries",Europe,Ireland,Limerick,52.6509356,-8.5763087,104.76,recycling;tracking;order management;waste reduction;invoicing;accounting;analytics;business intelligence;data analytics;supply chain management;sustainable development goals;industrial technology;shopfloor workflow management;climate tech;circular economy;smart waste management,energy;enterprise software,,late growth,Mianach Venture Capital;NCB Ventures;Insight Partners;Highland Europe;Ireland Strategic Investment Fund;Ulster Bank Diageo Venture Fund;Enterprise Ireland;SVB UK,"venture_capital;venture_capital;private_equity,venture_capital;venture_capital;sovereign_wealth_fund;venture_capital;government & non-profit;venture_capital",Limerick
Epishine,Develops and produces printed solar cells that consist only of organic materials,Europe,Sweden,Linkoping,58.4098135,15.6245252,16.77,solar energy;sustainable development goals;climate tech;nordic rising star 2022;novel energy;other categories novel energy,real estate;energy,energy efficiency;clean energy,early growth,Almi Invest;European Innovation Council;European Commission;Axsol;Vigo Carlund;Beijers Ventures;Philian Invest;LIU Invest;Beijer Ventures;Unreasonable Group,venture_capital;government;government;corporate;angel;venture_capital;investment fund;venture_capital;venture_capital;corporate,Linkoping
neoom,"Measures, intuitively stores, distributes and converts renewable energy into sustainable services",Europe,Austria,Linz,48.51196,14.50512,48.9,sustainable development goals;climate tech,energy,clean energy,late growth,ZE Fund Trust;Walter Kreisel;Burning Issues Impact Fund;Nixdorf Kapital Impact Fund;Alterdyne (former E-nable+);Allinvest Unternehmensbeteiligungs GmbH;KREISEL Ventures;Summiteer,family_office;angel;investment fund;venture_capital;corporate;family_office;venture_capital;venture_capital,Linz
Ecop Technologies,Cutting Edge Solutions for Industrial Heating and Cooling,Europe,Austria,Linz,48.120658,14.206986,4.38,machinery manufacturing;cooling tech;sustainable development goals;climate tech;heat pump,energy,energy efficiency,early growth,European Innovation Council;FSP Ventures;INiTS | Vienna's High-Tech Incubator;OOE Hightechfonds;tech2b Inkubator GmbH;ROCKETS Investments,government;venture_capital;accelerator;venture_capital;investment fund;crowdfunding,Linz
C2C-NewCap,Developed a breakthrough supercapacitor contributing towards a more sustainable mobility,Europe,Portugal,Lisbon,38.7954878,-9.18779819,4.66,climate tech;battery;sustainable development goals;eic,energy;transportation,mobility;energy storage;clean energy,seed,European Innovation Council;Caixa Capital (Portugal);EIT InnoEnergy;REPSOL Foundation;MassChallenge;EIC Fund (European Innovation Council Fund),"government;corporate_venture_fund;venture_capital;corporate_venture_fund,venture_capital;accelerator;venture_capital",Lisbon
Sensefinity,Reducing food waste through the digitalization of the supply-chain by implementing  hardware sensor in shipping containers to maximize the preservation of transported food and thus prevent food waste,Europe,Portugal,Lisbon,38.7601717,-9.15786576,1.28,tracking;geopositioning;urban tech;logistics;sustainable development goals;smart cities;climate tech;circular economy;recycling;waste reduction,food;energy,waste solution;agritech,early growth,European Innovation Council;Katapult;Techstars;H-FARM Ventures;Bluetech Accelerator;REDangels;METRO Accelerator;Olisipo Way;EIT Digital Accelerator;StartUp Sintra;EIT Climate-KIC;Techstars Dubai;Techstars Berlin;H-Farm;METRO Accelerator;HenkelX Ventures;Startup Autobahn;LeadX Capital Partners;Newzone Venture Capital;Hardware.co Accelerator;Techstars Boston;Techtree;EthAum Venture Partners;Techstars Stockholm;Techstars Paris;Techstars Berlin Accelerator,"government;accelerator;accelerator;venture_capital;accelerator;angel_fund;accelerator;family_office,angel_fund,venture_capital;accelerator;accelerator;accelerator;accelerator;accelerator;corporate;venture_capital;venture_capital;accelerator;venture_capital;venture_capital;accelerator;accelerator;corporate;investment fund;accelerator;accelerator;accelerator",Lisbon
Power Dot,"Power Dot offers around 5,000 charging points throughout France, Belgium, Luxembourg, Spain, and Poland",Europe,Portugal,Lisbon,38.7065026,-9.146192,150.0,ev charging;electric mobility;sustainable development goals;climate tech,energy;transportation,energy storage,late growth,Antin Infrastructure Partners,private_equity,Lisbon
Jungle AI,"Predictive intelligence that's leveraging high-volume complex data, distributed computing, machine learning and genetic optimisation",Europe,Portugal,Lisbon,38.7264273,-9.1359984,6.0,predictive analytics;analytics;sustainable development goals;optimization;climate tech;wind energy,energy;enterprise software,,early growth,Innogy Innovation Hub;Future Energy Ventures;EDP Ventures;Gorilla Capital Fund;EDP Starter;SHIFT Invest;Lloyd's lab;BIND 4.0 - Basque Open Innovation Platform;Rocks International Group,"accelerator;corporate_venture_fund,venture_capital;corporate_venture_fund,venture_capital;venture_capital;accelerator;venture_capital;accelerator;accelerator;venture_capital",Lisbon
BladeInsight,Offering tailored solutions for wind turbine blade operations and maintenance,Europe,Portugal,Lisbon,38.74115263,-9.30352466,1.98,drones;infrastructure services;wind energy;sustainable development goals;industrial drones;industrial technology;industrial robotics;climate tech,energy;robotics,clean energy,early growth,European Innovation Council;EIT InnoEnergy;Katapult;EDP Ventures;Betwixt Ventures;Swire Energy Services,"government;venture_capital;accelerator;corporate_venture_fund,venture_capital;venture_capital;corporate",Lisbon
Planet Care,A solution that can massively improve the quality of water and so far the only built-in system that prevents the microfibres to be released into washing machine wastewater and enter the environment,Europe,Slovenia,Ljubljana,46.05063,14.50283,1.59,sustainable development goals;climate tech,energy;home living,water,early growth,European Innovation Council;Fashion For Good,government;corporate,Ljubljana
Ducatt,"Clean-tech start-up based in Belgium, is focused on solar-glass",Europe,Belgium,Lommel,51.216904,5.290861,20.0,solar energy;climate tech;sustainable development goals,energy,clean energy,early growth,Capricorn Partners;LRM,venture_capital;venture_capital,Eindhoven
Sweetch Energy,"Expanding the frontiers of renewable energy with osmotic power : zero-emission, permanent and cost effective electricity",Europe,France,Lorient,47.7326809,-3.3742671,16.41,sustainable development goals;climate tech;hydropower,energy,water;clean energy,early growth,GO Capital;Emertec Gestion;Horizon 2020 FET (Future and Emerging Technologies);Demeter Partners;Future Positive Capital;Go Capital;Électricité de France (EDF group);Compagnie Nationale du Rhône - CNR,"venture_capital;investment fund;government;private_equity,venture_capital;venture_capital;venture_capital;corporate;corporate",Rennes
Leko Labs,Carbon Negative Construction,Europe,Luxembourg,Luxembourg,49.5245,6.00566,18.4,climate tech;sustainable development goals;carbon capture and storage;advanced materials;wood;novel energy;green buildings;urban tech,real estate;energy,clean energy;construction,early growth,4Ventures;2150;Rise PropTech;Microsoft Climate Innovation Fund;Tencent;AMAVI Capital;Extantia Capital;Freigeist Capital;Carbon Equity;Technoport SA,venture_capital;venture_capital;venture_capital;corporate_venture_fund;corporate;venture_capital;venture_capital;venture_capital;corporate;accelerator,Luxembourg
Kleuster,Innovative electric vehicles adapted to the needs of professionals,Europe,France,Lyon,45.804302,4.777784,1.7,sustainable development goals;climate tech,energy;transportation,vehicle production;maintenance,seed,Crédit Agricole;Bpifrance,corporate;venture_capital,Lyon
I-Ten,"Develops, manufactures, and sells micro-batteries which combine the advantages of both batteries and supercapacitors",Europe,France,Lyon,45.8129086,4.7619016,100.2,circuit;sustainable development goals;lithium ion batteries;climate tech;novel energy;other chemistry novel energy;battery;ev battery;ev battery production;solid-state battery,energy,energy storage,early growth,Kreaxi;Eren Groupe;Habert Dassault Finance;Innovacom;Demeter Partners;Rhone-Alpes Creation;Turenne Capital;Bpifrance,"venture_capital;corporate;investment fund;venture_capital;private_equity,venture_capital;venture_capital;venture_capital;venture_capital",Lyon
BeeBryte,Automated HVAC-R control & Chiller optimization software for increased energy efficiency in commercial buildings & factories,Europe,France,Lyon,45.764737,4.8463058,15.57,sustainable development goals;industrial iot;industry 4.0;predictive analytics;predictive maintenance;smart building;industrial automation;programmable logic controller;cooling tech;cost management;electrical installations;optimization;edge computing;cloud computing;refrigeration;thermal engineering;energy tech;industrial analytics;industrial technology;building cooling;smart cities;climate tech;building energy efficiency;green buildings;saas and iot for cooling;urban tech,real estate;energy,energy efficiency,early growth,Compagnie Nationale du Rhône - CNR;TechFounders;HNWI Angel;Bpifrance;Startup Autobahn;Greentech Verte;Eren Groupe,corporate;accelerator;angel;venture_capital;accelerator;venture_capital;corporate,Lyon
MCE-5 Development,,Europe,France,Lyon,45.761081,4.918999,10.3,sustainable development goals;climate tech,media;energy,,early growth,Michel Mulliez,angel,Lyon
INOVAYA,"Specializes in water innovative solutions designed for small communities, development aid sector and emergency situations",Europe,France,Lyon,45.75826,4.855387,3.0,wastewater treatment;water treatment;climate tech;circular economy;recycling;sustainable development goals,energy,waste solution;water,early growth,,,Lyon
Ener-pacte,Secures and optimizes existing photovoltaic power plants,Europe,France,Lyon,45.7593031,4.8556114,3.8,smart grid;climate tech;sustainable development goals,energy,energy efficiency;energy storage,early growth,EIT InnoEnergy;JBC2;BCM Energy group;Lita.co;Greenpact,venture_capital;corporate;corporate;crowdfunding;service provider,Lyon
MORPHOSENSE,A unique continuous and simultaneous real-time 3d deformation and 3axis vibration measurement system,Europe,France,Lyon,45.7764381,4.7137641,3.25,climate tech;vivatech2019;sustainable development goals;wind energy,energy;enterprise software,energy efficiency;clean energy,seed,European Innovation Council;Bouygues Construction;Sofimac Innovation;Crédit Agricole;Bouygues Developpement,government;corporate;venture_capital;corporate;venture_capital,Lyon
MyLight Systems,Develops innovative energy management solution designed to allow homeowners produce &consume their own solar electricity,Europe,France,Lyon,45.7728689,5.0374688,6.5,solar energy;sustainable development goals;climate tech,real estate;energy,energy storage;clean energy,late growth,Demeter Partners;Inter Invest Capital,"private_equity,venture_capital;venture_capital",Lyon
WattSense,"On-demand, non-intrusive building connectivity service",Europe,France,Lyon,45.808416,4.76336,3.63,facility management;property management;industry 4.0;sustainable development goals;climate tech,real estate;energy,energy efficiency;real estate software,early growth,Kreaxi;Bpifrance;HELEA FINANCIERE;Demeter Partners;Electra Invest;Rhone-Alpes Creation;Siemens,"venture_capital;venture_capital;corporate;private_equity,venture_capital;venture_capital;venture_capital;corporate",Lyon
Zelup,3D prints high pressure cleaners,Europe,France,Lyon,45.7489165,4.8421076,1.0,solar energy;climate tech;sustainable development goals,energy,clean energy,seed,Leader Group,service provider,Lyon
Healix,Takes waste like fishing nets and ropes and reprocesses them for the global manufacturing supply chain,Europe,Netherlands,Maastricht,50.8743044,5.7151574,10.0,sustainable development goals;climate tech;circular economy;recycling;plastic pollution;waste reduction,energy,waste solution,seed,Active Capital Company;Netherlands Enterprise Agency (RVO);ABN AMRO Commercial Finance,"private_equity,venture_capital;government;corporate",Aachen
GAFT - Sustainable Aviation Fuel Technology,GAFT - Green Air Fuel Technologies – is developing the first end-to-end patented solution to renewable jet fuel out of CO2 without using fossil fuels or food crops. We are building a pilot plant expected to become operational in 2024,Europe,Netherlands,Maastricht,50.8501783,5.7052501,2.5,sustainable development goals;climate tech;sustainable aviation fuel;carbon utilisation;biofuel,energy,,seed,European Innovation Council,government,Aachen
Beridi Maritime,"Provider of nautical engineering services for offshore wind turbine foundations. The business creates a hollow, monolithic, highly resistant concrete platform for offshore wind turbine installation",Europe,Spain,Madrid,40.492663,-3.7063092,3.41,wind energy;sustainable development goals;maritime;eicfund;climate tech;bluetech,energy,clean energy,seed,European Innovation Council;CDTI;European Commission;EIC Fund (European Innovation Council Fund),government;government & non-profit;government;venture_capital,Madrid
Bsq solar,Manufacturer of CPV solar electric systems,Europe,Spain,Madrid,40.4482298,-3.710155,1.63,solar energy;sustainable development goals;climate tech,energy,clean energy,seed,European Innovation Council,government,Madrid
Enefgy,"Enefgy offers a platform that enables organizations to store, manage, and analyze the hourly consumption of electricity.",Europe,Spain,Madrid,40.454052,-3.579976,0.92,consumer electronics;dna;biotechnology;genetics;genome engineering;sustainable development goals;climate tech,energy,clean energy;energy efficiency,early growth,Caixa Capital Risc,venture_capital,Madrid
Alga Energy,A biotech company consolidating over 4 decades cutting edge know-how in the field of microalgae,Europe,Spain,Madrid,40.5372512,-3.6372245,17.15,biotechnology;biofuel;nutrition;sustainable development goals;climate tech;farming,food;energy,agritech,late growth,European Innovation Council;Yokogawa Electric Corporation;Iberdrola;European Commission,government;corporate;corporate;government,Madrid
Samara,"Helps households accelerate their transition to a smarter, more efficient and sustainable energy generation and consumption model",Europe,Spain,Madrid,40.4375918,-3.6793841,6.5,solar energy;sustainable development goals;urban tech;climate tech;residential solar,energy,clean energy,late growth,Seaya;Pelion Green Future,venture_capital;venture_capital,Madrid
FRV,FRV develops geographically diversified solar projects based on photovoltaic and thermo solar technologies,Europe,Spain,Madrid,40.4167047,-3.7035825,172.73,solar energy;climate tech;sustainable development goals,energy,clean energy,late growth,Denham Capital,"private_equity,venture_capital",Madrid
EZZINGSOLAR,International company specialized in the development of online tools for companies working in the photovoltaic (PV) sector.,Europe,Spain,Madrid,40.428177,-3.6987281,4.56,developer tools;crm;sustainable development goals;solar energy;climate tech,energy,clean energy,late growth,INCENSe;FIWARE;EIT InnoEnergy;Innowwide;Addquity Growth Capital S.A.;CDTI,accelerator;accelerator;venture_capital;government;venture_capital;government & non-profit,Madrid
Perfecta Energía,Facilitates families' access to solar energy generation and self-consumption,Europe,Spain,Madrid,40.4396216,-3.6808932,3.5,solar energy;climate tech;sustainable development goals;green buildings;urban tech,energy,energy storage;energy providers;clean energy,late growth,Creas;GreenVolt,"private_equity,venture_capital;corporate",Madrid
Soto Solar,"Develops, finances, and manages large scale PV plants",Europe,Spain,Madrid,40.4167754,-3.7037902,100.0,solar energy;sustainable development goals;climate tech,energy,clean energy;energy providers,early growth,Beek Capital,investment fund,Madrid
